,tweets,len,ID,Date,Source,Likes,RTs
391,"RT @republic: #ModiOnBharat | I appeal to Rahul Gandhi that don't spare my father-mother. If you have anything against them, please come fo…",140,1.12933E+18,17-05-19 10:14,Twitter for iPhone,0,3061
392,RT @news24tvchannel: #ModionNews24 I don't want Rahul to do any favour to me. Cong Prez should tell people whatever he knows about my paren…,140,1.12933E+18,17-05-19 10:13,Twitter for iPhone,0,990
393,"RT @news24tvchannel: #ModionNews24: कांग्रेस का इतना पतन हो जायेगा ये हमने कभी नहीं सोचा था 

@narendramodi #ModionNews24 @amit_jurno @Rahu…",140,1.12933E+18,17-05-19 10:12,Twitter for iPhone,0,1396
394,"RT @news24tvchannel: #ModionNews24: 'BJP की सरकार बनना तय, बंगाल हमें 300 पार करा देगा' 

#LokSabhaElections2019 @BJP4India @narendramodi @…",140,1.12933E+18,17-05-19 10:12,Twitter for iPhone,0,1539
395,"NDA is the choice of 130 crore Indians! Watch from Khargone, Madhya Pradesh. https://t.co/ddkO2wj5Zu",100,1.12928E+18,17-05-19 6:41,Periscope,20720,4882
396,"RT @ravindrak2000: Do Watch My Interview With PM @narendramodi  
On @ZeeNews https://t.co/rBbBmWJuXI",100,1.12904E+18,16-05-19 14:53,Twitter Web Client,0,1630
397,"RT @ZeeNewsHindi: ZEE EXCLUSIVE: प्रधानमंत्री @narendramodi से जानिए 'पूर्वांचल फतह' का प्लान

#AbkiBaarKiskiSarkar @BJP4India https://t.co…",140,1.12904E+18,16-05-19 14:52,Twitter Web Client,0,1669
398,"I bow to my sisters and brothers of Bengal. Throughout the campaign, the affection I have received across the state… https://t.co/KNJgQNvMGf",140,1.12904E+18,16-05-19 14:47,Twitter Web Client,15616,3655
399,"Democracy is integral to Bengal's ethos.

In these polls, TMC isn't facing any party, the people of Bengal are driv… https://t.co/UfkSHnW9Xe",140,1.12903E+18,16-05-19 14:41,Twitter Media Studio,12259,2992
400,TMC is a party of corrupt and criminal elements who are looting &amp; harassing innocent people. An imminent defeat is… https://t.co/QMTpkDRWAQ,143,1.12903E+18,16-05-19 14:38,Twitter Web Client,13533,3461
401,"TMC’s love for land and property has coloured their vision for developing West Bengal. 

BJP will ensure a clean an… https://t.co/Daz0NWgRhE",140,1.12903E+18,16-05-19 14:31,Twitter Media Studio,12827,3128
402,"West Bengal isn’t the private fiefdom of Didi, her nephew or TMC. 

West Bengal deserves representatives who serve… https://t.co/z7q31l373q",139,1.12903E+18,16-05-19 14:29,Twitter Media Studio,11813,3181
403,Thank you Mathurapur for the immense love and affection. These scenes clearly show the bond of Bengal with BJP https://t.co/hS9gF7GYQ7,134,1.12903E+18,16-05-19 14:11,Twitter Media Studio,43320,8822
404,Dum Dum is determined to reject corrupt and criminalised TMC. People are with BJP. Watch. https://t.co/O7HUDKAN73,113,1.12901E+18,16-05-19 13:20,Periscope,13302,3601
405,Delighted to be back to West Bengal. Watch from Mathurapur. https://t.co/wWEgDQ7Bqr,83,1.12899E+18,16-05-19 11:36,Periscope,10969,2898
406,"2014 से पहले का वो दौर याद कीजिए: 

जब आए दिन घोटाले होते रहते थे। 

जब भ्रष्टाचार के खिलाफ देश सड़कों पर था।

जब आ… https://t.co/Wa54rgTzfK",140,1.12897E+18,16-05-19 10:11,Twitter Media Studio,16884,4640
407,"महामिलावटियों का विरोध मॉडल:

सर्जिकल स्ट्राइक, एयर स्ट्राइक का विरोध 

घुसपैठियों की पहचान का विरोध

तीन तलाक के… https://t.co/VJj68EOfAH",138,1.12897E+18,16-05-19 10:08,Twitter Media Studio,14489,3677
408,"एनडीए महिला सशक्तिकरण पर ध्यान दे रहा है और महामिलावटी नारी शक्ति का अपमान कर रहे हैं।

अलवर में दलित बेटी पर अत्या… https://t.co/OZVWlrmIOF",140,1.12896E+18,16-05-19 10:05,Twitter Media Studio,9073,2380
409,"महामिलावटियों की पहली गलती- लखनऊ में एसी कमरों में बैठकर महामिलावटी गठबंधन बनाया।

दूसरी गलती- उनकी यह सोच कि वोट ए… https://t.co/K0kpp5tf4r",140,1.12896E+18,16-05-19 10:01,Twitter Media Studio,12960,3206
410,Thoughts and ideals of the great Ishwar Chandra Vidyasagar reverberate across India. They have shaped millions of I… https://t.co/PxvOcKTH65,140,1.12896E+18,16-05-19 9:58,Twitter Media Studio,13342,3408
411,"A memorable moment from this day, 5 years ago.

With the blessings of 130 crore Indians, we’ve worked to fulfil asp… https://t.co/Wl8e20oMI0",140,1.12895E+18,16-05-19 9:22,Twitter Web Client,32658,7219
412,Do watch my interview with @aajtak. https://t.co/T9KGSBV7rf,59,1.12895E+18,16-05-19 8:57,Periscope,9817,2624
413,It's a NDA wave across Uttar Pradesh. Speaking in Mirzapur. Watch. https://t.co/PcLcVuJFbk,90,1.12894E+18,16-05-19 8:14,Periscope,9888,2632
414,"कर्म ही है धर्म मेरा, धर्म ही है मेरा जीवन

जीवन ही तो देश मेरा, देश ही मेरा तन-मन। https://t.co/8w0rX9wRKE",107,1.12892E+18,16-05-19 7:11,Twitter Media Studio,45262,10052
415,Chandauli is voting BJP because people feel our party offers a strong and stable Government. Watch. https://t.co/OTR0X0b6bk,123,1.12891E+18,16-05-19 6:38,Periscope,10208,2611
416,Mau has unwavering faith in the development agenda of NDA. Here is my speech. https://t.co/mBIE3wtOGO,101,1.12889E+18,16-05-19 5:27,Periscope,11067,2849
